Iteration,fit_time,evaluate_time,hit_rate,ndcg
1,9.199734210968018,1.2834055423736572,0.4347682119205298,0.22883840207092837
2,7.282607316970825,1.2053093910217285,0.4683774834437086,0.24600721595418346
3,7.279264450073242,1.2213103771209717,0.5044701986754967,0.2621938741262552
4,7.5455262660980225,1.2229907512664795,0.5182119205298014,0.2707785326514012
5,7.341497421264648,1.207137107849121,0.5251655629139073,0.27547520175474305
6,7.389488220214844,1.2061498165130615,0.5359271523178808,0.28050450176061015
7,7.326953411102295,1.2206916809082031,0.5392384105960265,0.2821422579655885
8,7.289724588394165,1.220712423324585,0.5367549668874172,0.2798257947437351
9,7.374787330627441,1.2219336032867432,0.535430463576159,0.2807171494820819
10,7.326680421829224,1.206113576889038,0.5350993377483444,0.2792379538518985
11,7.25861668586731,1.2227678298950195,0.534271523178808,0.27913374717597816
12,7.477003812789917,1.2059106826782227,0.5326158940397351,0.27835681673285917
13,7.323793888092041,1.205287218093872,0.5314569536423841,0.27852365336932333
14,7.27771782875061,1.2052600383758545,0.5291390728476821,0.2775922359363945
15,7.153875112533569,1.2202410697937012,0.526158940397351,0.27582965377422314
16,7.297128438949585,1.2059016227722168,0.5243377483443709,0.2750854550594251
17,7.128671169281006,1.2225379943847656,0.5233443708609271,0.2738425254531885
18,7.300194978713989,1.2175474166870117,0.5223509933774835,0.27367943183526683
19,7.436295747756958,1.2042014598846436,0.5220198675496689,0.2729847277173458
20,7.495920896530151,1.205075979232788,0.5197019867549669,0.2720575847422314
