loss,mse,val_loss,val_mse
1.1575063408974728,1.1427934169769287,1.0348859377051065,0.9925722479820251
0.9934826833318442,0.9300085306167603,0.9795758239889107,0.9078305959701538
0.9584875248290956,0.8853314518928528,0.9599253360621668,0.8865943551063538
0.9430339693471715,0.8689267635345459,0.9505350699457817,0.8765203952789307
0.9355031808415561,0.8601769804954529,0.9460795061387621,0.8704971075057983
0.9319458566629508,0.8548656105995178,0.9443411872530351,0.8669716119766235
0.9302937474240323,0.851525604724884,0.9432356391934777,0.8645355701446533
0.9295502964184956,0.849755585193634,0.9429172850053296,0.8630582690238953
0.9291430665066673,0.8485106229782104,0.9427244853370028,0.8620524406433105
0.9289608205244554,0.8473846316337585,0.9427573411216872,0.8618557453155518
0.9288426328191641,0.847185492515564,0.9425809476278916,0.8612083792686462
0.9288083959480278,0.8467208743095398,0.9426244317594499,0.8611434698104858
